%Ice and snow thickness measurements at Lake Giles (unit: cm)							
%Day	Month	Year	Total ice	Congelation ice	Snow ice	Snow	Ice height
1	1	1997	NaN	NaN	NaN	NaN	NaN
1	1	1998	NaN	NaN	NaN	NaN	NaN
1	1	1999	NaN	NaN	NaN	NaN	NaN
1	1	2000	NaN	NaN	NaN	NaN	NaN
1	1	2001	NaN	NaN	NaN	NaN	NaN
1	1	2002	NaN	NaN	NaN	NaN	NaN
1	1	2003	NaN	NaN	NaN	NaN	NaN
1	1	2004	NaN	NaN	NaN	NaN	NaN
1	1	2005	NaN	NaN	NaN	NaN	NaN
1	1	2006	NaN	NaN	NaN	NaN	NaN
1	1	2007	NaN	NaN	NaN	NaN	NaN
1	1	2008	NaN	NaN	NaN	NaN	NaN
1	1	2009	NaN	NaN	NaN	NaN	NaN
1	1	2010	NaN	NaN	NaN	NaN	NaN
1	1	2011	NaN	NaN	NaN	NaN	NaN
1	1	2012	NaN	NaN	NaN	NaN	NaN
1	1	2013	NaN	NaN	NaN	NaN	NaN
1	1	2014	NaN	NaN	NaN	NaN	NaN
1	1	2015	NaN	NaN	NaN	NaN	NaN
1	1	2016	NaN	NaN	NaN	NaN	NaN
1	1	2017	NaN	NaN	NaN	NaN	NaN
1	1	2018	NaN	NaN	NaN	NaN	NaN
