"V1","V2","V3","V4","V5"
"19880607",1200,-2200,5,"YSI"
"19880607",1200,-2100,5,"YSI"
"19880607",1200,-2000,5,"YSI"
"19880607",1200,-1900,5,"YSI"
"19880607",1200,-1800,5,"YSI"
"19880607",1200,-1700,5.5,"YSI"
"19880607",1200,-1600,6,"YSI"
"19880607",1200,-1500,6,"YSI"
"19880607",1200,-1400,6,"YSI"
"19880607",1200,-1300,6.5,"YSI"
"19880607",1200,-1200,7,"YSI"
"19880607",1200,-1100,7,"YSI"
"19880607",1200,-1000,8,"YSI"
"19880607",1200,-900,8.5,"YSI"
"19880607",1200,-800,9.5,"YSI"
"19880607",1200,-700,10,"YSI"
"19880607",1200,-600,14.5,"YSI"
"19880607",1200,-500,15,"YSI"
"19880607",1200,-400,15,"YSI"
"19880607",1200,-300,15,"YSI"
"19880607",1200,-200,15,"YSI"
"19880607",1200,-100,15,"YSI"
"19880607",1200,0,15,"YSI"
"19880613",1200,-2200,5,"YSI"
"19880613",1200,-2100,5.5,"YSI"
"19880613",1200,-2000,6,"YSI"
"19880613",1200,-1900,6,"YSI"
"19880613",1200,-1800,6,"YSI"
"19880613",1200,-1700,6,"YSI"
"19880613",1200,-1600,6,"YSI"
"19880613",1200,-1500,6.5,"YSI"
"19880613",1200,-1400,7,"YSI"
"19880613",1200,-1300,7,"YSI"
"19880613",1200,-1200,7.5,"YSI"
"19880613",1200,-1100,8,"YSI"
"19880613",1200,-1000,9,"YSI"
"19880613",1200,-900,10,"YSI"
"19880613",1200,-800,11,"YSI"
"19880613",1200,-700,12.5,"YSI"
"19880613",1200,-600,15,"YSI"
"19880613",1200,-500,15,"YSI"
"19880613",1200,-400,14.5,"YSI"
"19880613",1200,-300,15,"YSI"
"19880613",1200,-200,15,"YSI"
"19880613",1200,-100,15,"YSI"
"19880613",1200,0,15,"YSI"
"19880621",1200,-2200,4,"YSI"
"19880621",1200,-2100,4,"YSI"
"19880621",1200,-2000,4,"YSI"
"19880621",1200,-1900,4,"YSI"
"19880621",1200,-1800,4.5,"YSI"
"19880621",1200,-1700,5,"YSI"
"19880621",1200,-1600,5,"YSI"
"19880621",1200,-1500,5,"YSI"
"19880621",1200,-1400,5,"YSI"
"19880621",1200,-1300,6,"YSI"
"19880621",1200,-1200,7,"YSI"
"19880621",1200,-1100,7,"YSI"
"19880621",1200,-1000,8,"YSI"
"19880621",1200,-900,9,"YSI"
"19880621",1200,-800,11,"YSI"
"19880621",1200,-700,13,"YSI"
"19880621",1200,-600,15,"YSI"
"19880621",1200,-500,16,"YSI"
"19880621",1200,-400,17,"YSI"
"19880621",1200,-300,18.5,"YSI"
"19880621",1200,-200,19.5,"YSI"
"19880621",1200,-100,19.5,"YSI"
"19880621",1200,0,19.5,"YSI"
"19880628",1200,-1400,8.5,"YSI"
"19880628",1200,-1300,9,"YSI"
"19880628",1200,-1200,10,"YSI"
"19880628",1200,-1100,11,"YSI"
